datetime,open,high,low,close,volume
2025-07-24 09:22:29.983092,1.07993,1.08089,1.07952,1.08007,12611
2025-07-24 09:27:29.983092,1.08043,1.08108,1.07911,1.07943,63107
2025-07-24 09:32:29.983092,1.08076,1.08119,1.08066,1.08099,16653
2025-07-24 09:37:29.983092,1.08328,1.08406,1.08225,1.08264,17695
2025-07-24 09:42:29.983092,1.08252,1.08422,1.08191,1.08301,17266
2025-07-24 09:47:29.983092,1.08232,1.08424,1.0816,1.0828,21864
2025-07-24 09:52:29.983092,1.08451,1.08548,1.08423,1.08493,23279
2025-07-24 09:57:29.983092,1.08608,1.08668,1.08526,1.08556,32502
2025-07-24 10:02:29.983092,1.08504,1.08593,1.08487,1.08559,14488
2025-07-24 10:07:29.983092,1.08624,1.08738,1.08544,1.08602,19076
2025-07-24 10:12:29.983092,1.08522,1.08703,1.08472,1.08603,15396
2025-07-24 10:17:29.983092,1.08517,1.08544,1.08494,1.08507,6637
2025-07-24 10:22:29.983092,1.0857,1.08599,1.08523,1.08538,21723
2025-07-24 10:27:29.983092,1.08303,1.08357,1.08288,1.08327,16463
2025-07-24 10:32:29.983092,1.08169,1.08329,1.07954,1.08034,69322
2025-07-24 10:37:29.983092,1.08016,1.0813,1.07982,1.08063,26861
2025-07-24 10:42:29.983092,1.07929,1.0795,1.07898,1.07909,6913
2025-07-24 10:47:29.983092,1.07983,1.07996,1.07951,1.07958,20234
2025-07-24 10:52:29.983092,1.07849,1.07987,1.07795,1.07878,14872
2025-07-24 10:57:29.983092,1.07649,1.07917,1.07557,1.07735,21087
2025-07-24 11:02:29.983092,1.07886,1.07911,1.0788,1.07898,10456
2025-07-24 11:07:29.983092,1.07847,1.07934,1.07831,1.079,15513
2025-07-24 11:12:29.983092,1.07899,1.07913,1.07881,1.07888,7462
2025-07-24 11:17:29.983092,1.07692,1.07823,1.07654,1.07748,25539
2025-07-24 11:22:29.983092,1.07651,1.07684,1.07644,1.0767,15629
2025-07-24 11:27:29.983092,1.07715,1.07803,1.07613,1.07657,20442
2025-07-24 11:32:29.983092,1.07522,1.0759,1.07515,1.07574,25643
2025-07-24 11:37:29.983092,1.07671,1.07869,1.07446,1.07544,37045
2025-07-24 11:42:29.983092,1.07585,1.07724,1.07428,1.07498,25362
2025-07-24 11:47:29.983092,1.07492,1.07574,1.07474,1.07538,10683
2025-07-24 11:52:29.983092,1.07409,1.07554,1.07376,1.07488,34584
2025-07-24 11:57:29.983092,1.07715,1.0776,1.07659,1.07682,16518
2025-07-24 12:02:29.983092,1.07664,1.07787,1.07646,1.07752,58491
2025-07-24 12:07:29.983092,1.07555,1.07702,1.07508,1.07609,24721
2025-07-24 12:12:29.983092,1.07677,1.07741,1.07667,1.07721,10135
2025-07-24 12:17:29.983092,1.0759,1.0771,1.07455,1.07516,24768
2025-07-24 12:22:29.983092,1.07537,1.07786,1.07466,1.07644,63372
2025-07-24 12:27:29.983092,1.07354,1.07378,1.07331,1.07343,11823
2025-07-24 12:32:29.983092,1.07172,1.07253,1.07149,1.07205,23744
2025-07-24 12:37:29.983092,1.07213,1.07346,1.07159,1.07238,14465
2025-07-24 12:42:29.983092,1.07363,1.0752,1.07223,1.07301,39100
2025-07-24 12:47:29.983092,1.07375,1.07391,1.07348,1.07356,13731
2025-07-24 12:52:29.983092,1.07379,1.07417,1.07326,1.07345,21210
2025-07-24 12:57:29.983092,1.07385,1.07441,1.07256,1.07283,37615
2025-07-24 13:02:29.983092,1.07163,1.07184,1.07137,1.07147,14279
2025-07-24 13:07:29.983092,1.07038,1.07158,1.07014,1.0711,24305
2025-07-24 13:12:29.983092,1.07049,1.07103,1.06977,1.07004,17870
2025-07-24 13:17:29.983092,1.07182,1.07198,1.07157,1.07165,13582
2025-07-24 13:22:29.983092,1.07219,1.07253,1.07212,1.0724,15784
2025-07-24 13:27:29.983092,1.07056,1.07072,1.06964,1.06971,22818
2025-07-24 13:32:29.983092,1.07047,1.07107,1.07037,1.07087,26890
2025-07-24 13:37:29.983092,1.07047,1.07132,1.06968,1.07011,7911
2025-07-24 13:42:29.983092,1.06926,1.07113,1.0686,1.06981,38031
2025-07-24 13:47:29.983092,1.07068,1.07123,1.06992,1.0702,20092
2025-07-24 13:52:29.983092,1.07151,1.07354,1.07086,1.07225,28734
2025-07-24 13:57:29.983092,1.07304,1.07391,1.07275,1.07334,13714
2025-07-24 14:02:29.983092,1.07238,1.07291,1.0718,1.07206,15756
2025-07-24 14:07:29.983092,1.07212,1.07245,1.07159,1.07175,21595
2025-07-24 14:12:29.983092,1.07283,1.07302,1.07203,1.07213,30743
2025-07-24 14:17:29.983092,1.07399,1.07441,1.07349,1.0737,18559
2025-07-24 14:22:29.983092,1.07308,1.07471,1.07252,1.0736,25534
2025-07-24 14:27:29.983092,1.07286,1.07387,1.07271,1.07357,45265
2025-07-24 14:32:29.983092,1.07198,1.07231,1.07166,1.07182,5410
2025-07-24 14:37:29.983092,1.07004,1.07187,1.06957,1.07092,55940
2025-07-24 14:42:29.983092,1.07119,1.07318,1.07064,1.07209,41372
2025-07-24 14:47:29.983092,1.07357,1.07397,1.07322,1.07343,11205
2025-07-24 14:52:29.983092,1.07311,1.07522,1.07246,1.07392,21336
2025-07-24 14:57:29.983092,1.07511,1.07622,1.07418,1.07473,13827
2025-07-24 15:02:29.983092,1.07542,1.0757,1.07536,1.07558,4811
2025-07-24 15:07:29.983092,1.075,1.07533,1.07439,1.07456,27773
2025-07-24 15:12:29.983092,1.07519,1.076,1.07495,1.07553,18496
2025-07-24 15:17:29.983092,1.07781,1.07961,1.0762,1.0771,15119
2025-07-24 15:22:29.983092,1.07763,1.07783,1.07731,1.0774,7800
2025-07-24 15:27:29.983092,1.07952,1.08021,1.0793,1.07979,15835
2025-07-24 15:32:29.983092,1.07582,1.07773,1.07541,1.07691,32650
2025-07-24 15:37:29.983092,1.07733,1.07876,1.07682,1.07774,30498
2025-07-24 15:42:29.983092,1.07783,1.07808,1.07757,1.07769,4887
2025-07-24 15:47:29.983092,1.07772,1.07816,1.07703,1.07725,32680
2025-07-24 15:52:29.983092,1.0772,1.07905,1.07679,1.07822,28540
2025-07-24 15:57:29.983092,1.07543,1.07556,1.07501,1.07507,8031
2025-07-24 16:02:29.983092,1.07474,1.07602,1.07444,1.07542,39918
2025-07-24 16:07:29.983092,1.07601,1.07728,1.07466,1.07529,14551
2025-07-24 16:12:29.983092,1.07758,1.0787,1.07711,1.07777,8038
2025-07-24 16:17:29.983092,1.07674,1.0779,1.07653,1.07748,21083
2025-07-24 16:22:29.983092,1.07626,1.07665,1.0759,1.07609,8438
2025-07-24 16:27:29.983092,1.0761,1.07778,1.07434,1.07518,26324
2025-07-24 16:32:29.983092,1.0764,1.07874,1.07576,1.07746,39535
2025-07-24 16:37:29.983092,1.07763,1.07839,1.07692,1.07731,20323
2025-07-24 16:42:29.983092,1.07664,1.07749,1.07647,1.07715,9538
2025-07-24 16:47:29.983092,1.0775,1.07807,1.07738,1.07783,12128
2025-07-24 16:52:29.983092,1.07742,1.0795,1.07686,1.07838,27226
2025-07-24 16:57:29.983092,1.07962,1.08019,1.07862,1.0789,43215
2025-07-24 17:02:29.983092,1.07837,1.07886,1.07822,1.07856,6620
2025-07-24 17:07:29.983092,1.07808,1.0784,1.07799,1.07822,6807
2025-07-24 17:12:29.983092,1.07743,1.07823,1.07735,1.07807,7928
2025-07-24 17:17:29.983092,1.07611,1.07643,1.07566,1.07582,6913
2025-07-24 17:22:29.983092,1.07613,1.07758,1.07574,1.07679,10970
2025-07-24 17:27:29.983092,1.07704,1.07715,1.07672,1.07677,4953
2025-07-24 17:32:29.983092,1.07691,1.07745,1.07675,1.07714,9693
2025-07-24 17:37:29.983092,1.07701,1.0779,1.07621,1.07666,11988
2025-07-24 17:42:29.983092,1.07481,1.0758,1.07462,1.07541,8236
2025-07-24 17:47:29.983092,1.07443,1.0751,1.07434,1.07494,17275
2025-07-24 17:52:29.983092,1.07409,1.07453,1.07393,1.0742,5261
2025-07-24 17:57:29.983092,1.07314,1.07361,1.07266,1.0729,5390
2025-07-24 18:02:29.983092,1.07297,1.07319,1.07258,1.07269,3072
2025-07-24 18:07:29.983092,1.0729,1.074,1.07243,1.07307,6053
2025-07-24 18:12:29.983092,1.07423,1.07447,1.0737,1.07382,7625
2025-07-24 18:17:29.983092,1.07395,1.07435,1.07384,1.07412,3487
2025-07-24 18:22:29.983092,1.07397,1.0749,1.07363,1.07423,5879
2025-07-24 18:27:29.983092,1.07415,1.07505,1.07332,1.07377,15234
2025-07-24 18:32:29.983092,1.07277,1.07319,1.07245,1.07266,4613
2025-07-24 18:37:29.983092,1.07279,1.07313,1.07225,1.07243,6801
2025-07-24 18:42:29.983092,1.07268,1.07318,1.07218,1.07243,10045
2025-07-24 18:47:29.983092,1.07382,1.07429,1.0737,1.07406,10634
2025-07-24 18:52:29.983092,1.07389,1.07404,1.0735,1.07357,11031
2025-07-24 18:57:29.983092,1.07377,1.07434,1.07353,1.07387,2152
2025-07-24 19:02:29.983092,1.07359,1.07413,1.07344,1.07382,7031
2025-07-24 19:07:29.983092,1.0728,1.07366,1.07248,1.07302,6980
2025-07-24 19:12:29.983092,1.0736,1.07393,1.07325,1.07342,3785
2025-07-24 19:17:29.983092,1.07353,1.07435,1.07346,1.0742,12453
2025-07-24 19:22:29.983092,1.07432,1.07442,1.07413,1.07418,4371
2025-07-24 19:27:29.983092,1.0737,1.07393,1.0734,1.07352,7360
2025-07-24 19:32:29.983092,1.07422,1.07478,1.07408,1.0745,6898
